period,price Â¢/kWh
2020-01-01,11.212903225806452
2020-02-01,11.26741935483871
2020-03-01,11.204516129032257
2020-04-01,11.368225806451614
2020-05-01,11.430806451612904
2020-06-01,11.687903225806451
2020-07-01,11.793870967741936
2020-08-01,11.795645161290324
2020-09-01,11.721129032258066
2020-10-01,11.386774193548387
2020-11-01,11.242096774193548
2020-12-01,11.180806451612904
2021-01-01,11.236774193548387
2021-02-01,11.888709677419355
2021-03-01,11.538548387096775
2021-04-01,11.499193548387098
2021-05-01,11.559193548387096
2021-06-01,12.065483870967741
2021-07-01,12.257903225806452
2021-08-01,12.265645161290323
2021-09-01,12.370322580645162
2021-10-01,12.076774193548387
2021-11-01,12.00758064516129
2021-12-01,11.981935483870968
2022-01-01,12.283548387096776
2022-02-01,12.515483870967742
2022-03-01,12.483548387096775
2022-04-01,12.597903225806453
2022-05-01,12.97258064516129
2022-06-01,13.66483870967742
2022-07-01,13.85225806451613
2022-08-01,14.189193548387097
2022-09-01,14.109193548387097
2022-10-01,13.568548387096774
2022-11-01,13.400645161290322
2022-12-01,13.61483870967742
2023-01-01,13.929193548387097
2023-02-01,14.023870967741935
2023-03-01,13.731451612903227
2023-04-01,13.489193548387098
2023-05-01,13.496451612903225
2023-06-01,13.87741935483871
2023-07-01,14.076290322580645
2023-08-01,14.155
2023-09-01,14.034193548387098
2023-10-01,13.737903225806452
2023-11-01,13.688387096774193
2023-12-01,13.651129032258064
